Mark,Type,Rm1,Rm2,Rm3,Rm4,Rm5,"Mass of pc, kg"
,,2,2,2,12,6,
KP1-1,12-А500С ГОСТ/GOST 34028-2016 L=2300,32,8,,,,"2,1"
KP1-2,12-А500С ГОСТ/GOST 34028-2016 L=765,128,32,,,,"0,7"
KP1-3,12-А500С ГОСТ/GOST 34028-2016 L=450,128,32,,,,"0,4"
KP1-4,12-А500С ГОСТ/GOST 34028-2016 L=870,32,8,,,,"0,8"
KP1-5,12-А500С ГОСТ/GOST 34028-2016 L=840,64,16,,,,"0,8"
P1-2,20-А500С ГОСТ/GOST 34028-2016 L=9085,68,28,,,,"22,4"
P1-3,20-А500C ГОСТ/GOST 34028-2016 L=3985,68,,,,,"9,9"
P1-4,20-А500C ГОСТ/GOST 34028-2016 L=8885,64,,,,,22
P1-5,20-А500C ГОСТ/GOST 34028-2016 L=3885,76,,,,,"9,6"
P1-6,16-А500С ГОСТ/GOST 34028-2016 L=9120,4,,,,,"14,4"
P1-7,16-А500C ГОСТ/GOST 34028-2016 L=7320,4,,,,,"11,6"
P1-8,16-А500C ГОСТ/GOST 34028-2016 L=6235,4,,,,,"9,9"
P1-9,20-А500С ГОСТ/GOST 34028-2016 L=1740,104,48,,,,"4,3"
P1-10,12-А500С ГОСТ/GOST 34028-2016 L=5280,32,,,,,"4,7"
P1-11,12-А500С ГОСТ/GOST 34028-2016 L=3720,32,,,,,"3,3"
P1-12,12-А500С ГОСТ/GOST 34028-2016 L=3720,32,,,,,"3,3"
P1-13,20-А500С ГОСТ/GOST 34028-2016 L=3585,,100,,,,"8,9"
P1-14,16-А500C ГОСТ/GOST 34028-2016 L=10340,,4,,,,"16,4"
P1-15,10-А500С ГОСТ/GOST 34028-2016 L=4230,,16,,,,"2,6"
P1-16,10-А500С ГОСТ/GOST 34028-2016 L=3030,,32,,,,"1,9"
P1-17,16-А500C ГОСТ/GOST 34028-2016 L=870,488,128,,,,"1,38"
P2-1,20-А500С ГОСТ/GOST 34028-2016 L=3785,,,22,,,"9,4"
P2-2,20-А500C ГОСТ/GOST 34028-2016 L=3385,,,24,,,"8,4"
P2-3,16-А500С ГОСТ/GOST 34028-2016 L=5240,,,4,,,"8,3"
P2-4,20-А500C ГОСТ/GOST 34028-2016 L=1900,,,24,24,,"4,7"
P2-5,10-А500С ГОСТ/GOST 34028-2016 L=4230,,,8,8,,"2,6"
P2-6,10-А500С ГОСТ/GOST 34028-2016 L=3030,,,16,16,,"1,9"
P2-7,20-А500С ГОСТ/GOST 34028-2016 L=3585,,,,20,,"8,9"
P2-8,20-А500C ГОСТ/GOST 34028-2016 L=3185,,,,22,,"7,9"
P2-9,16-А500С ГОСТ/GOST 34028-2016 L=4840,,,,4,,"7,7"
P3-1,20-А500C ГОСТ/GOST 34028-2016 L=2800,,,,,10,"6,9"
P3-2,20-А500С ГОСТ/GOST 34028-2016 L=2100,,,,,13,"5,2"
P3-3,20-А500C ГОСТ/GOST 34028-2016 L=4000,,,,,8,"9,9"
P3-4,10-А500C ГОСТ/GOST 34028-2016 L=2800,,,,,4,"1,8"
P3-5,10-А500С ГОСТ/GOST 34028-2016 L=3030,,,,,8,"1,9"
P3-6,10-А500С ГОСТ/GOST 34028-2016 L=2350,,,,,16,"1,5"
